consorcio;unidad;coeficiente;ocupacion;estado_mora
C-B;B-001;1.04166667;propietario;al día
C-B;B-002;1.04166667;propietario;al día
C-B;B-003;1.04166667;propietario;al día
C-B;B-004;1.04166667;propietario;al día
C-B;B-005;1.04166667;propietario;al día
C-B;B-006;1.04166667;propietario;al día
C-B;B-007;1.04166667;propietario;al día
C-B;B-008;1.04166667;propietario;al día
C-B;B-009;1.04166667;propietario;al día
C-B;B-010;1.04166667;propietario;al día
C-B;B-011;1.04166667;propietario;al día
C-B;B-012;1.04166667;propietario;al día
C-B;B-013;1.04166667;propietario;al día
C-B;B-014;1.04166667;propietario;al día
C-B;B-015;1.04166667;propietario;al día
C-B;B-016;1.04166667;propietario;al día
C-B;B-017;1.04166667;propietario;al día
C-B;B-018;1.04166667;propietario;al día
C-B;B-019;1.04166667;propietario;al día
C-B;B-020;1.04166667;propietario;al día
C-B;B-021;1.04166667;propietario;al día
C-B;B-022;1.04166667;propietario;al día
C-B;B-023;1.04166667;propietario;al día
C-B;B-024;1.04166667;propietario;al día
C-B;B-025;1.04166667;propietario;al día
C-B;B-026;1.04166667;propietario;al día
C-B;B-027;1.04166667;propietario;al día
C-B;B-028;1.04166667;propietario;al día
C-B;B-029;1.04166667;propietario;al día
C-B;B-030;1.04166667;propietario;al día
C-B;B-031;1.04166667;propietario;al día
C-B;B-032;1.04166667;propietario;al día
C-B;B-033;1.04166667;propietario;al día
C-B;B-034;1.04166667;propietario;al día
C-B;B-035;1.04166667;propietario;al día
C-B;B-036;1.04166667;propietario;al día
C-B;B-037;1.04166667;propietario;al día
C-B;B-038;1.04166667;propietario;al día
C-B;B-039;1.04166667;propietario;al día
C-B;B-040;1.04166667;propietario;al día
C-B;B-041;1.04166667;propietario;al día
C-B;B-042;1.04166667;propietario;al día
C-B;B-043;1.04166667;propietario;al día
C-B;B-044;1.04166667;propietario;al día
C-B;B-045;1.04166667;propietario;al día
C-B;B-046;1.04166667;propietario;al día
C-B;B-047;1.04166667;propietario;al día
C-B;B-048;1.04166667;propietario;al día
C-B;B-049;1.04166667;propietario;al día
C-B;B-050;1.04166667;propietario;al día
C-B;B-051;1.04166667;propietario;al día
C-B;B-052;1.04166667;propietario;al día
C-B;B-053;1.04166667;propietario;al día
C-B;B-054;1.04166667;propietario;al día
C-B;B-055;1.04166667;propietario;al día
C-B;B-056;1.04166667;propietario;al día
C-B;B-057;1.04166667;propietario;al día
C-B;B-058;1.04166667;propietario;al día
C-B;B-059;1.04166667;propietario;al día
C-B;B-060;1.04166667;propietario;al día
C-B;B-061;1.04166667;propietario;al día
C-B;B-062;1.04166667;propietario;al día
C-B;B-063;1.04166667;propietario;al día
C-B;B-064;1.04166667;propietario;al día
C-B;B-065;1.04166667;propietario;al día
C-B;B-066;1.04166667;propietario;al día
C-B;B-067;1.04166667;propietario;al día
C-B;B-068;1.04166667;propietario;al día
C-B;B-069;1.04166667;propietario;al día
C-B;B-070;1.04166667;propietario;al día
C-B;B-071;1.04166667;propietario;al día
C-B;B-072;1.04166667;propietario;al día
C-B;B-073;1.04166667;propietario;al día
C-B;B-074;1.04166667;propietario;al día
C-B;B-075;1.04166667;propietario;al día
C-B;B-076;1.04166667;propietario;al día
C-B;B-077;1.04166667;propietario;al día
C-B;B-078;1.04166667;propietario;al día
C-B;B-079;1.04166667;propietario;al día
C-B;B-080;1.04166667;propietario;al día
C-B;B-081;1.04166667;propietario;al día
C-B;B-082;1.04166667;propietario;al día
C-B;B-083;1.04166667;propietario;al día
C-B;B-084;1.04166667;propietario;al día
C-B;B-085;1.04166667;propietario;al día
C-B;B-086;1.04166667;propietario;al día
C-B;B-087;1.04166667;propietario;al día
C-B;B-088;1.04166667;propietario;al día
C-B;B-089;1.04166667;propietario;al día
C-B;B-090;1.04166667;propietario;al día
C-B;B-091;1.04166667;propietario;al día
C-B;B-092;1.04166667;propietario;al día
C-B;B-093;1.04166667;propietario;al día
C-B;B-094;1.04166667;propietario;al día
C-B;B-095;1.04166667;propietario;al día
C-B;B-096;1.04166635;propietario;mora 1 período
