unidad;coeficiente;ordinario;extraordinario;ajuste_redondeo;total;observacion
1A;12.50000000;143750.00;21875.00;0.00;165625.00;
1B;12.50000000;143750.00;21875.00;0.00;165625.00;
1C;12.50000000;143750.00;21875.00;0.00;165625.00;
1D;12.50000000;143750.00;21875.00;0.00;165625.00;
2A;7.50000000;86250.00;13125.00;0.00;99375.00;
2B;7.50000000;86250.00;13125.00;0.00;99375.00;
2C;7.50000000;86250.00;13125.00;0.00;99375.00;
2D;7.50000000;86250.00;13125.00;0.00;99375.00;
3A;5.00000000;57500.00;8750.00;0.00;66250.00;
3B;5.00000000;57500.00;8750.00;0.00;66250.00;
3C;5.00000000;57500.00;8750.00;0.00;66250.00;
3D;5.00000000;57500.00;8750.00;0.00;66250.00;
TOTAL;;;0.00;1325000.00;ordinarios 1150000.00 + extraordinarios 175000.00
